study_id,study_name,trial_id,trial_number,param_name,param_value,value
8,disaster_4,52,39,weight_decay,0.06308593522658767,0.781491002570694
8,disaster_4,53,40,batch_size,1,0.7803278688524589
8,disaster_4,53,40,dropout_rate,0.4427538586000962,0.7803278688524589
8,disaster_4,53,40,learning_rate,0.000009340118632555645,0.7803278688524589
8,disaster_4,53,40,lr_scheduler_type,1,0.7803278688524589
8,disaster_4,53,40,num_epochs,3,0.7803278688524589
8,disaster_4,53,40,weight_decay,0.07823418930897347,0.7803278688524589
8,disaster_4,54,41,batch_size,1,0.7240411599625818
8,disaster_4,54,41,dropout_rate,0.4323307333453663,0.7240411599625818
8,disaster_4,54,41,learning_rate,0.000001661032597731207,0.7240411599625818
8,disaster_4,54,41,lr_scheduler_type,1,0.7240411599625818
8,disaster_4,54,41,num_epochs,3,0.7240411599625818
8,disaster_4,54,41,weight_decay,0.02105621159109088,0.7240411599625818
16,disaster__,44,0,batch_size,0,0.7692307692307692
16,disaster__,44,0,dropout_rate,0.267992618762078,0.7692307692307692
16,disaster__,44,0,learning_rate,0.000002887272146290392,0.7692307692307692
16,disaster__,44,0,lr_scheduler_type,3,0.7692307692307692
16,disaster__,44,0,num_epochs,2,0.7692307692307692
16,disaster__,44,0,weight_decay,0.055580746857693486,0.7692307692307692
