trial_id,study_id,study_name,param_name,param_value,score
35,8,disaster_4,learning_rate,0.0000031548428927575532,"In Progress Or Failed"
35,8,disaster_4,lr_scheduler_type,2,"In Progress Or Failed"
35,8,disaster_4,num_epochs,5,"In Progress Or Failed"
35,8,disaster_4,weight_decay,0.026359339988223665,"In Progress Or Failed"
36,8,disaster_4,batch_size,0,"In Progress Or Failed"
36,8,disaster_4,dropout_rate,0.33551225788968214,"In Progress Or Failed"
36,8,disaster_4,learning_rate,0.0000034203198064667526,"In Progress Or Failed"
36,8,disaster_4,lr_scheduler_type,2,"In Progress Or Failed"
36,8,disaster_4,num_epochs,5,"In Progress Or Failed"
36,8,disaster_4,weight_decay,0.02233209968528595,"In Progress Or Failed"
37,8,disaster_4,batch_size,2,0.7723785166240409
37,8,disaster_4,dropout_rate,0.2674973733124931,0.7723785166240409
37,8,disaster_4,learning_rate,0.000014610834770823498,0.7723785166240409
37,8,disaster_4,lr_scheduler_type,2,0.7723785166240409
37,8,disaster_4,num_epochs,10,0.7723785166240409
37,8,disaster_4,weight_decay,0.08532862164996348,0.7723785166240409
39,8,disaster_4,batch_size,2,0.7705334462320068
39,8,disaster_4,dropout_rate,0.25949461734806867,0.7705334462320068
39,8,disaster_4,learning_rate,0.000014331476940965594,0.7705334462320068
39,8,disaster_4,lr_scheduler_type,2,0.7705334462320068
39,8,disaster_4,num_epochs,10,0.7705334462320068
39,8,disaster_4,weight_decay,0.09061338679885574,0.7705334462320068
40,8,disaster_4,batch_size,2,0.759322033898305
40,8,disaster_4,dropout_rate,0.2584616593475377,0.759322033898305
40,8,disaster_4,learning_rate,0.000012887726743992683,0.759322033898305
40,8,disaster_4,lr_scheduler_type,2,0.759322033898305
40,8,disaster_4,num_epochs,5,0.759322033898305
40,8,disaster_4,weight_decay,0.08995880863665942,0.759322033898305
42,8,disaster_4,batch_size,2,0.7752332485156913
42,8,disaster_4,dropout_rate,0.2798077043366766,0.7752332485156913
42,8,disaster_4,learning_rate,0.0000042669636287540175,0.7752332485156913
42,8,disaster_4,lr_scheduler_type,2,0.7752332485156913
42,8,disaster_4,num_epochs,6,0.7752332485156913
42,8,disaster_4,weight_decay,0.033628715346946905,0.7752332485156913
43,8,disaster_4,batch_size,2,0.774869109947644
43,8,disaster_4,dropout_rate,0.3093352670966169,0.774869109947644
43,8,disaster_4,learning_rate,0.000003835115793044618,0.774869109947644
43,8,disaster_4,lr_scheduler_type,0,0.774869109947644
43,8,disaster_4,num_epochs,6,0.774869109947644
43,8,disaster_4,weight_decay,0.03070137492517036,0.774869109947644
45,8,disaster_4,batch_size,2,0.774586597040905
45,8,disaster_4,dropout_rate,0.31991656585182726,0.774586597040905
45,8,disaster_4,learning_rate,0.000004643306704673693,0.774586597040905
45,8,disaster_4,lr_scheduler_type,0,0.774586597040905
45,8,disaster_4,num_epochs,6,0.774586597040905
45,8,disaster_4,weight_decay,0.0343991828440194,0.774586597040905
46,8,disaster_4,batch_size,1,0.7782290820471163
46,8,disaster_4,dropout_rate,0.37713144334950977,0.7782290820471163
46,8,disaster_4,learning_rate,0.000008459017321935918,0.7782290820471163
46,8,disaster_4,lr_scheduler_type,1,0.7782290820471163
46,8,disaster_4,num_epochs,4,0.7782290820471163
46,8,disaster_4,weight_decay,0.06624990177757582,0.7782290820471163
47,8,disaster_4,batch_size,1,0.7673397717295873
47,8,disaster_4,dropout_rate,0.3812486305461022,0.7673397717295873
47,8,disaster_4,learning_rate,0.00000817485847674236,0.7673397717295873
47,8,disaster_4,lr_scheduler_type,1,0.7673397717295873
47,8,disaster_4,num_epochs,4,0.7673397717295873
47,8,disaster_4,weight_decay,0.06658459371520631,0.7673397717295873
49,8,disaster_4,batch_size,0,0.7552320291173794
49,8,disaster_4,dropout_rate,0.3747554344103061,0.7552320291173794
49,8,disaster_4,learning_rate,0.000002298862802021001,0.7552320291173794
49,8,disaster_4,lr_scheduler_type,1,0.7552320291173794
49,8,disaster_4,num_epochs,4,0.7552320291173794
49,8,disaster_4,weight_decay,0.01534809533330747,0.7552320291173794
50,8,disaster_4,batch_size,0,0.7820844099913866
50,8,disaster_4,dropout_rate,0.3837729048424013,0.7820844099913866
50,8,disaster_4,learning_rate,0.000002404171471120537,0.7820844099913866
50,8,disaster_4,lr_scheduler_type,1,0.7820844099913866
50,8,disaster_4,num_epochs,4,0.7820844099913866
50,8,disaster_4,weight_decay,0.014673357524430759,0.7820844099913866
51,8,disaster_4,batch_size,1,0.7761437908496731
51,8,disaster_4,dropout_rate,0.37780467657569416,0.7761437908496731
51,8,disaster_4,learning_rate,0.000008091816729592325,0.7761437908496731
51,8,disaster_4,lr_scheduler_type,1,0.7761437908496731
51,8,disaster_4,num_epochs,4,0.7761437908496731
51,8,disaster_4,weight_decay,0.06504519309780259,0.7761437908496731
52,8,disaster_4,batch_size,1,0.781491002570694
52,8,disaster_4,dropout_rate,0.37592173344107493,0.781491002570694
52,8,disaster_4,learning_rate,0.000005509468268751441,0.781491002570694
52,8,disaster_4,lr_scheduler_type,1,0.781491002570694
52,8,disaster_4,num_epochs,3,0.781491002570694
52,8,disaster_4,weight_decay,0.06308593522658767,0.781491002570694
53,8,disaster_4,batch_size,1,0.7803278688524589
53,8,disaster_4,dropout_rate,0.4427538586000962,0.7803278688524589
53,8,disaster_4,learning_rate,0.000009340118632555645,0.7803278688524589
53,8,disaster_4,lr_scheduler_type,1,0.7803278688524589
53,8,disaster_4,num_epochs,3,0.7803278688524589
53,8,disaster_4,weight_decay,0.07823418930897347,0.7803278688524589
54,8,disaster_4,batch_size,1,0.7240411599625818
54,8,disaster_4,dropout_rate,0.4323307333453663,0.7240411599625818
54,8,disaster_4,learning_rate,0.000001661032597731207,0.7240411599625818
54,8,disaster_4,lr_scheduler_type,1,0.7240411599625818
54,8,disaster_4,num_epochs,3,0.7240411599625818
54,8,disaster_4,weight_decay,0.02105621159109088,0.7240411599625818
55,8,disaster_4,batch_size,0,"In Progress Or Failed"
55,8,disaster_4,dropout_rate,0.43373206404392234,"In Progress Or Failed"
55,8,disaster_4,learning_rate,0.0000015670843751803462,"In Progress Or Failed"
55,8,disaster_4,lr_scheduler_type,1,"In Progress Or Failed"
55,8,disaster_4,num_epochs,3,"In Progress Or Failed"
55,8,disaster_4,weight_decay,0.02411911200148622,"In Progress Or Failed"
56,8,disaster_4,batch_size,0,"In Progress Or Failed"
56,8,disaster_4,dropout_rate,0.43776752891743337,"In Progress Or Failed"
56,8,disaster_4,learning_rate,0.0000056010442612594265,"In Progress Or Failed"
56,8,disaster_4,lr_scheduler_type,1,"In Progress Or Failed"
56,8,disaster_4,num_epochs,3,"In Progress Or Failed"
56,8,disaster_4,weight_decay,0.02799298574728554,"In Progress Or Failed"
57,8,disaster_4,batch_size,1,"In Progress Or Failed"
57,8,disaster_4,dropout_rate,0.44056141430328327,"In Progress Or Failed"
57,8,disaster_4,learning_rate,0.00003683097240481578,"In Progress Or Failed"
57,8,disaster_4,lr_scheduler_type,1,"In Progress Or Failed"
57,8,disaster_4,num_epochs,3,"In Progress Or Failed"
57,8,disaster_4,weight_decay,0.07836536831784915,"In Progress Or Failed"
58,8,disaster_4,batch_size,1,"In Progress Or Failed"
58,8,disaster_4,dropout_rate,0.21294494978801629,"In Progress Or Failed"
58,8,disaster_4,learning_rate,0.000038421770503590235,"In Progress Or Failed"
58,8,disaster_4,lr_scheduler_type,1,"In Progress Or Failed"
58,8,disaster_4,num_epochs,3,"In Progress Or Failed"
58,8,disaster_4,weight_decay,0.0779438225874674,"In Progress Or Failed"
102,50,disaster_keyword_0,batch_size,2,"In Progress Or Failed"
102,50,disaster_keyword_0,dropout_rate,0.16310759533811492,"In Progress Or Failed"
102,50,disaster_keyword_0,learning_rate,0.00004098363293102688,"In Progress Or Failed"
102,50,disaster_keyword_0,lr_scheduler_type,3,"In Progress Or Failed"
102,50,disaster_keyword_0,num_epochs,7,"In Progress Or Failed"
102,50,disaster_keyword_0,weight_decay,0.022358609848816526,"In Progress Or Failed"
103,50,disaster_keyword_0,batch_size,1,0.4739176219116076
103,50,disaster_keyword_0,dropout_rate,0.20520282519666685,0.4739176219116076
103,50,disaster_keyword_0,learning_rate,0.000003922702660373781,0.4739176219116076
103,50,disaster_keyword_0,lr_scheduler_type,1,0.4739176219116076
103,50,disaster_keyword_0,num_epochs,4,0.4739176219116076
103,50,disaster_keyword_0,weight_decay,0.014631492589928564,0.4739176219116076
104,50,disaster_keyword_0,batch_size,2,"In Progress Or Failed"
104,50,disaster_keyword_0,dropout_rate,0.4332065496689729,"In Progress Or Failed"
104,50,disaster_keyword_0,learning_rate,0.00008422011850512964,"In Progress Or Failed"
104,50,disaster_keyword_0,lr_scheduler_type,0,"In Progress Or Failed"
104,50,disaster_keyword_0,num_epochs,6,"In Progress Or Failed"
104,50,disaster_keyword_0,weight_decay,0.01057668632474662,"In Progress Or Failed"
105,50,disaster_keyword_0,batch_size,2,"In Progress Or Failed"
105,50,disaster_keyword_0,dropout_rate,0.31716852913140353,"In Progress Or Failed"
105,50,disaster_keyword_0,learning_rate,0.000015951798973617864,"In Progress Or Failed"
105,50,disaster_keyword_0,lr_scheduler_type,1,"In Progress Or Failed"
105,50,disaster_keyword_0,num_epochs,5,"In Progress Or Failed"
105,50,disaster_keyword_0,weight_decay,0.05370273748186889,"In Progress Or Failed"
106,50,disaster_keyword_0,batch_size,0,0.469031033466018
106,50,disaster_keyword_0,dropout_rate,0.17006531948215478,0.469031033466018
106,50,disaster_keyword_0,learning_rate,0.000001119363019429371,0.469031033466018
106,50,disaster_keyword_0,lr_scheduler_type,1,0.469031033466018
106,50,disaster_keyword_0,num_epochs,3,0.469031033466018
106,50,disaster_keyword_0,weight_decay,0.01052481426264451,0.469031033466018
107,50,disaster_keyword_0,batch_size,0,0.472591943204503
107,50,disaster_keyword_0,dropout_rate,0.18750968533371518,0.472591943204503
107,50,disaster_keyword_0,learning_rate,0.0000050516728373619066,0.472591943204503
107,50,disaster_keyword_0,lr_scheduler_type,0,0.472591943204503
107,50,disaster_keyword_0,num_epochs,3,0.472591943204503
107,50,disaster_keyword_0,weight_decay,0.007374523326291549,0.472591943204503
108,50,disaster_keyword_0,batch_size,1,"In Progress Or Failed"
108,50,disaster_keyword_0,dropout_rate,0.47398341147794476,"In Progress Or Failed"
108,50,disaster_keyword_0,learning_rate,0.000011856114543571058,"In Progress Or Failed"
108,50,disaster_keyword_0,lr_scheduler_type,3,"In Progress Or Failed"
108,50,disaster_keyword_0,num_epochs,7,"In Progress Or Failed"
108,50,disaster_keyword_0,weight_decay,0.0895080685054125,"In Progress Or Failed"
109,50,disaster_keyword_0,batch_size,2,"In Progress Or Failed"
109,50,disaster_keyword_0,dropout_rate,0.4580851230938494,"In Progress Or Failed"
109,50,disaster_keyword_0,learning_rate,0.0000010956358355932693,"In Progress Or Failed"
109,50,disaster_keyword_0,lr_scheduler_type,1,"In Progress Or Failed"
109,50,disaster_keyword_0,num_epochs,8,"In Progress Or Failed"
109,50,disaster_keyword_0,weight_decay,0.045000126838533744,"In Progress Or Failed"
110,50,disaster_keyword_0,batch_size,2,"In Progress Or Failed"
110,50,disaster_keyword_0,dropout_rate,0.2737810368928292,"In Progress Or Failed"
110,50,disaster_keyword_0,learning_rate,0.000007838968177285747,"In Progress Or Failed"
110,50,disaster_keyword_0,lr_scheduler_type,1,"In Progress Or Failed"
110,50,disaster_keyword_0,num_epochs,9,"In Progress Or Failed"
110,50,disaster_keyword_0,weight_decay,0.042102626971418526,"In Progress Or Failed"
111,50,disaster_keyword_0,batch_size,1,"In Progress Or Failed"
111,50,disaster_keyword_0,dropout_rate,0.21921599838784644,"In Progress Or Failed"
111,50,disaster_keyword_0,learning_rate,0.0000010645000478639181,"In Progress Or Failed"
111,50,disaster_keyword_0,lr_scheduler_type,0,"In Progress Or Failed"
111,50,disaster_keyword_0,num_epochs,5,"In Progress Or Failed"
111,50,disaster_keyword_0,weight_decay,0.09845504391531695,"In Progress Or Failed"
112,57,disaster_keyword_1,batch_size,1,"In Progress Or Failed"
112,57,disaster_keyword_1,dropout_rate,0.12760782367569581,"In Progress Or Failed"
112,57,disaster_keyword_1,learning_rate,0.0000027329878555023003,"In Progress Or Failed"
112,57,disaster_keyword_1,lr_scheduler_type,1,"In Progress Or Failed"
112,57,disaster_keyword_1,num_epochs,10,"In Progress Or Failed"
112,57,disaster_keyword_1,weight_decay,0.00506409734857124,"In Progress Or Failed"
113,57,disaster_keyword_1,batch_size,2,"In Progress Or Failed"
113,57,disaster_keyword_1,dropout_rate,0.3971308122308249,"In Progress Or Failed"
113,57,disaster_keyword_1,learning_rate,0.00008682914933684044,"In Progress Or Failed"
113,57,disaster_keyword_1,lr_scheduler_type,2,"In Progress Or Failed"
113,57,disaster_keyword_1,num_epochs,10,"In Progress Or Failed"
113,57,disaster_keyword_1,weight_decay,0.027797499087195587,"In Progress Or Failed"
114,57,disaster_keyword_1,batch_size,1,"In Progress Or Failed"
114,57,disaster_keyword_1,dropout_rate,0.30404607430650377,"In Progress Or Failed"
114,57,disaster_keyword_1,learning_rate,0.0000027750538070119425,"In Progress Or Failed"
114,57,disaster_keyword_1,lr_scheduler_type,0,"In Progress Or Failed"
114,57,disaster_keyword_1,num_epochs,4,"In Progress Or Failed"
114,57,disaster_keyword_1,weight_decay,0.07288537251500042,"In Progress Or Failed"
115,57,disaster_keyword_1,batch_size,2,"In Progress Or Failed"
